day,error
0,0.449802353675747
1,0.01892952645636
2,-0.258251529918731
3,0.861353997968191
4,-0.052127635437764
5,0.458360800647164
6,0.250849642303367
7,-0.465879930198937
8,0.06970495623898
9,0.93248114544491
10,0.498868270713015
11,-0.020723126838539
12,-0.71700764328534
13,0.229916526561289
14,-0.25721551805434
15,-0.984697182381491
16,0.164748337662764
17,-0.176583371016569
18,-0.288542297370765
19,0.171109381279784
20,-0.501794471060099
21,0.310309716469164
22,0.337822114973759
23,0.176826351458844
24,1.44895860832876
25,0.962451941482606
26,0.57066680572212
27,0.161844684943848
28,0.349219588384563
29,0.373082618876023
30,0.093788171189511
31,0.33764368390703
32,-0.021462378518208
33,-0.516098658897338
34,0.17615045782129
35,0.168226705364525
36,0.106859081126819
37,-0.164628995369948
38,-0.177057178260109
39,-1.12601445179832
40,-1.29125689261216
41,-0.362860248180135
42,-0.014488347351845
43,0.286776059364342
44,0.333639446352166
45,0.933370812365141
46,0.553434842744418
47,0.534860368836568
48,0.455138662030398
49,0.202466950554263
50,0.419068730530648
51,0.218500835979996
52,-0.071244273528952
53,0.08643807524701
54,-0.105594548217717
55,0.190642448448344
56,-0.006331922226123
57,0.507058716948572
58,-0.452674267440389
59,-0.257106532076513
60,0.051254372298416
61,0.783186898307915
62,0.433083067995661
63,0.673329297545323
64,0.222536054882793
65,0.118333528006792
66,-0.013355619997098
67,0.099447935349365
68,0.121200188703191
69,0.292712590447679
70,0.024619152283412
71,0.285321980128319
72,0.396017944651253
73,0.096031056016075
74,0.142472165626612
75,0.237273359578096
76,0.888181780482269
77,0.352878443081682
78,0.320189258761734
79,1.69107244657077
80,0.340604390799954
81,2.44573396814178
82,0.996496558703844
83,0.671441303603482
84,0.05227429954432
85,0.53159210851049
86,0.280286705542539
87,0.213036887037178
88,0.012497413900182
89,0.06487460124149
90,0.327991129644411
91,0.107798094178529
92,0.180918739839009
93,0.413889122953371
94,0.022615101487387
95,0.083459055666452
96,0.297793449168074
97,-0.226302621833299
98,-0.143661203696107
99,-0.383517986243716
