day,error
0,0
1,0
2,-0.602678496925353
3,-1.30611316811422
4,-0.189071248428229
5,-0.758168479239827
6,-0.923783823483274
7,-0.868861802179458
8,-1.39367947173997
9,-1.97425551258003
10,-0.552134940747865
11,-1.19903503562337
12,-1.91630916870568
13,-0.098461700204613
14,-1.72995190158261
15,-1.36015531688112
16,-0.080471086863957
17,-0.315552949874458
18,-0.472447162374068
19,-0.217603370289623
20,-0.559219455886798
21,-0.099862444854402
22,0.167057851501816
23,0.168878597909165
24,1.0255600028327
25,0.636285733007718
26,0.255730278103819
27,0.000972453978218
28,-0.138717160050755
29,0.031997490702748
30,-0.336576315935702
31,-0.007404013985275
32,-0.182686770772014
33,-0.569343256645633
34,-0.048673683777751
35,-0.15672417117367
36,-0.193680401735202
37,-0.52126727885744
38,-0.189993357101779
39,-1.1844274148
40,-1.4929313578747
41,-0.46706862723568
42,-0.336344401464109
43,0.052949969511128
44,-0.034957620615676
45,0.602609064862762
46,0.543977367106706
47,0.039309247607567
48,0
49,0
50,-0.040620675386766
51,-0.045826918393884
52,-0.106270717055894
53,-0.186600107563998
54,-0.121130635482237
55,-0.049452234757569
56,-0.092748128219532
57,0.016349019944498
58,-0.497568168411116
59,-0.453683285541057
60,0.037961566130179
61,0.634704496054637
62,-0.064983871592006
63,0.364211878525146
64,-0.175799881484495
65,0.034627493862224
66,-0.106756841610312
67,0.044153924791444
68,-0.212884454900671
69,-0.000226961479933
70,0
71,-0.17812289622995
72,0
73,-0.021421368358873
74,-0.07602601065557
75,0.021949792528851
76,0.498271392971875
77,0.044292635632628
78,0.033922833630248
79,1.24253956433506
80,0.098563368323599
81,1.99945954117687
82,0.886424306550198
83,0.460158750530272
84,0.018555319722972
85,0.055222550066539
86,-0.043030432277856
87,-0.018647013402659
88,-0.114179474647842
89,0.063008099038529
90,0
91,-0.137630267407131
92,0
93,0.153424719212415
94,-0.122900841917911
95,0.041601928509951
96,-0.141181636724211
97,0
98,0.139973761372093
99,-0.02163835269071
